,SMILES
503,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
505,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1
507,CC(=O)Nc1ccc(C(=O)O)cc1
509,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
511,CC(=O)N[C@@H](CCC(N)=O)C(=O)O
513,C[C@H](N[P@@](=O)(OC[C@H]1O[C@@H](n2ccc(N)nc2=O)C(F)(F)[C@@H]1O)Oc1ccccc1)C(=O)OCc1ccccc1
514,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
517,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
518,CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
520,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
522,CC1=CC(=O)NS(=O)(=O)O1
525,CC(=O)Nc1ccccc1
528,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
531,CC(=O)Nc1nnc(S(N)(=O)=O)s1
532,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
534,CC(=O)NO
535,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
537,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I
539,CC(=O)O[C@@H]1CC[C@]2(C)[C@@H]3C(=O)C=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2[C@@]1(C)C(=O)O
540,CC(=O)N[C@@H](CSC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C(=O)O
542,CC(=O)N[C@@H](CC(C)C)C(=O)O
544,CC(=O)OCC[N+](C)(C)C
547,CC(=O)N[C@@H](CS)C(=O)O
550,CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O
552,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O
553,CC(=O)NCCCCCC(=O)O
555,C[C@@]1(c2ccccc2)OC(C(=O)O)=CC1=O
558,Cc1cnc(C(=O)O)c[n+]1[O-]
562,O=C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1
564,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
566,N[C@@H](C(=O)O)[C@@H]1CC(Cl)=NO1
567,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC
568,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1
570,CC1=C(c2ccc(O)cc2)[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21
571,CC1(C)OB(O)c2cc(NC(=O)c3ccc(F)cc3C(F)(F)F)ccc21
572,NC1(C(=O)O)CC1
574,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1
575,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21
577,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12
578,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
580,C=CC(=O)O
581,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1
584,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2cc(C)cc(C)c2)cc1
587,CC(=O)Nc1ccc(CC(=O)O)cc1
589,COCc1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c(F)c2)c2c(N)ncnn2c1CN1CCOCC1
